satisfaction_result,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Online Booking,Gate location,Food and drink,Online Check-in,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes
neutral or dissatisfied,Female,Infrequent Flyer,25,Business travel,Business,1416,2,0,2,2,3,2,3,3,5,3,4,4,4,3,0
neutral or dissatisfied,Female,Frequent Flyer,16,Personal Travel,Business,634,3,1,3,4,4,3,3,4,4,5,4,2,3,4,0
neutral or dissatisfied,Female,Infrequent Flyer,43,Business travel,Eco,604,2,1,2,4,5,2,5,5,3,2,4,3,4,5,12
neutral or dissatisfied,Male,Frequent Flyer,64,Business travel,Eco Plus,320,1,3,5,5,1,1,1,1,4,3,4,2,3,1,0
neutral or dissatisfied,Female,Frequent Flyer,58,Personal Travel,Eco,980,3,4,3,4,3,5,4,3,3,3,3,5,3,4,0
neutral or dissatisfied,Female,Frequent Flyer,15,Personal Travel,Eco,2342,2,1,2,2,4,2,4,4,1,4,2,1,3,4,1
neutral or dissatisfied,Male,Infrequent Flyer,22,Business travel,Eco,1430,3,3,3,4,4,3,4,4,4,4,4,3,5,4,27
neutral or dissatisfied,Male,Frequent Flyer,16,Personal Travel,Eco,325,1,4,1,5,4,1,4,4,4,2,4,4,3,4,0
neutral or dissatisfied,Female,Frequent Flyer,17,Business travel,Business,312,1,4,4,4,1,1,1,1,4,5,4,4,4,1,29
neutral or dissatisfied,Female,Frequent Flyer,51,Business travel,Business,74,1,1,1,1,5,4,4,1,1,1,1,4,1,4,27
neutral or dissatisfied,Male,Frequent Flyer,47,Business travel,Eco,599,1,2,5,2,1,1,1,1,1,3,3,3,3,1,96
neutral or dissatisfied,Male,Frequent Flyer,35,Business travel,Business,2763,4,2,2,2,4,3,3,4,4,4,4,3,4,3,14
neutral or dissatisfied,Male,Infrequent Flyer,37,Business travel,Eco Plus,408,3,3,3,3,2,3,1,2,1,1,3,3,3,2,0
neutral or dissatisfied,Male,Frequent Flyer,27,Personal Travel,Eco,2677,3,3,3,2,4,3,4,4,1,1,3,2,2,4,0
neutral or dissatisfied,Female,Frequent Flyer,17,Personal Travel,Eco,175,1,4,1,4,1,1,1,1,5,2,4,2,5,1,0
neutral or dissatisfied,Female,Frequent Flyer,47,Personal Travel,Eco,861,2,1,2,3,1,4,3,4,4,2,2,1,4,1,0
neutral or dissatisfied,Male,Infrequent Flyer,29,Business travel,Business,632,2,2,2,1,1,2,1,1,4,5,5,3,5,1,21
neutral or dissatisfied,Male,Frequent Flyer,49,Personal Travel,Eco,551,4,5,4,2,3,4,3,3,5,3,1,5,5,3,0
neutral or dissatisfied,Female,Frequent Flyer,12,Business travel,Eco Plus,888,0,5,5,5,0,1,4,0,3,4,3,4,4,0,11
neutral or dissatisfied,Male,Frequent Flyer,55,Business travel,Eco Plus,337,3,2,3,3,3,3,3,3,2,4,3,4,3,3,0
neutral or dissatisfied,Male,Frequent Flyer,47,Personal Travel,Eco,912,1,4,2,3,2,2,2,2,3,3,4,3,5,2,62
neutral or dissatisfied,Female,Infrequent Flyer,30,Business travel,Eco,1136,2,1,1,3,2,2,2,2,4,5,4,1,3,2,0
neutral or dissatisfied,Male,Infrequent Flyer,23,Business travel,Eco,466,2,1,2,3,5,2,5,5,3,2,3,4,3,5,34
neutral or dissatisfied,Male,Frequent Flyer,14,Personal Travel,Eco,366,2,5,2,3,3,2,3,3,4,3,5,5,5,3,0
neutral or dissatisfied,Male,Frequent Flyer,55,Business travel,Eco,612,3,1,1,1,3,3,3,3,2,5,3,4,4,3,0
neutral or dissatisfied,Female,Infrequent Flyer,57,Business travel,Eco,460,2,0,2,4,5,2,5,5,4,3,1,4,3,5,0
neutral or dissatisfied,Male,Frequent Flyer,57,Personal Travel,Eco,1440,1,5,1,5,4,1,4,4,3,5,5,5,5,4,0
neutral or dissatisfied,Female,Frequent Flyer,51,Business travel,Eco,326,3,1,1,1,5,3,3,3,3,3,3,4,3,3,55
neutral or dissatisfied,Male,Frequent Flyer,36,Business travel,Eco,426,1,3,3,3,1,1,1,1,1,5,4,3,4,1,31
neutral or dissatisfied,Male,Frequent Flyer,60,Personal Travel,Eco,371,3,1,3,3,4,3,4,4,3,4,3,3,3,4,0
neutral or dissatisfied,Female,Frequent Flyer,34,Business travel,Eco,199,4,4,4,4,4,3,4,4,2,1,3,3,2,4,0
neutral or dissatisfied,Female,Frequent Flyer,30,Personal Travel,Eco,476,3,2,3,2,1,3,1,1,4,3,2,1,3,1,0
neutral or dissatisfied,Male,Infrequent Flyer,34,Business travel,Eco,427,3,2,3,3,4,3,4,4,4,4,3,4,3,4,68
neutral or dissatisfied,Male,Frequent Flyer,39,Personal Travel,Eco,270,1,0,1,1,1,1,4,1,4,3,4,5,5,1,12
neutral or dissatisfied,Male,Frequent Flyer,63,Personal Travel,Eco,761,2,4,2,3,1,2,1,1,4,2,3,4,5,1,8
neutral or dissatisfied,Male,Frequent Flyer,69,Personal Travel,Eco,1979,1,2,1,3,1,1,1,1,2,4,4,2,3,1,2
neutral or dissatisfied,Male,Frequent Flyer,31,Personal Travel,Eco,1389,1,5,1,4,1,1,1,1,5,4,5,3,5,1,0
neutral or dissatisfied,Male,Frequent Flyer,23,Personal Travel,Eco,130,1,4,1,3,5,1,3,5,2,4,3,4,3,5,0
neutral or dissatisfied,Male,Frequent Flyer,45,Personal Travel,Eco,762,2,5,2,1,3,2,2,3,5,5,5,5,4,3,108
neutral or dissatisfied,Male,Frequent Flyer,8,Business travel,Business,2859,2,1,1,1,2,2,2,2,2,2,4,3,3,2,4
neutral or dissatisfied,Female,Frequent Flyer,12,Personal Travel,Eco,413,2,1,2,3,4,2,3,4,4,5,2,1,3,4,19
neutral or dissatisfied,Male,Frequent Flyer,57,Personal Travel,Eco,666,4,2,4,3,2,4,1,2,4,1,3,2,4,2,6
neutral or dissatisfied,Female,Frequent Flyer,14,Business travel,Eco,1099,2,2,2,2,2,2,2,2,2,3,3,1,3,2,0
neutral or dissatisfied,Female,Frequent Flyer,57,Personal Travel,Business,1222,3,4,3,4,5,3,3,2,2,3,2,4,2,1,16
neutral or dissatisfied,Male,Frequent Flyer,46,Personal Travel,Eco,147,3,4,3,3,4,3,4,4,4,3,4,4,4,4,9
neutral or dissatisfied,Male,Infrequent Flyer,40,Business travel,Eco,201,4,0,4,5,2,4,2,2,2,1,3,1,3,2,5
neutral or dissatisfied,Female,Frequent Flyer,42,Personal Travel,Eco,319,2,5,2,1,3,1,3,5,5,2,5,5,5,5,0
neutral or dissatisfied,Male,Frequent Flyer,70,Personal Travel,Eco Plus,337,4,3,4,4,3,4,3,3,3,2,4,1,4,3,77
neutral or dissatisfied,Male,Frequent Flyer,11,Personal Travel,Eco,101,3,4,0,2,5,0,1,5,3,5,5,2,4,5,0
neutral or dissatisfied,Female,Infrequent Flyer,38,Business travel,Eco,143,3,2,3,4,1,3,1,1,4,4,3,3,3,1,0
neutral or dissatisfied,Female,Frequent Flyer,54,Personal Travel,Eco,696,2,4,2,4,4,5,4,1,1,2,1,3,1,5,22
neutral or dissatisfied,Female,Frequent Flyer,61,Personal Travel,Eco Plus,1199,2,1,1,4,2,3,4,3,3,1,3,3,3,1,6
neutral or dissatisfied,Male,Infrequent Flyer,46,Business travel,Eco,1145,2,2,2,2,5,2,3,5,2,2,2,4,1,5,35
neutral or dissatisfied,Female,Frequent Flyer,36,Personal Travel,Eco,602,2,3,2,2,3,2,2,3,5,3,5,2,3,3,0
neutral or dissatisfied,Female,Infrequent Flyer,22,Business travel,Eco,304,3,4,3,4,5,3,5,5,3,4,3,3,4,5,5
neutral or dissatisfied,Female,Frequent Flyer,42,Business travel,Eco,266,2,4,4,4,1,4,3,2,2,2,2,4,2,2,0
neutral or dissatisfied,Male,Frequent Flyer,68,Personal Travel,Eco Plus,1460,2,5,3,4,1,3,1,1,3,3,3,4,4,1,0
neutral or dissatisfied,Male,Frequent Flyer,60,Personal Travel,Eco,1024,2,5,2,1,5,2,5,5,5,4,5,3,4,5,1
neutral or dissatisfied,Female,Frequent Flyer,63,Personal Travel,Eco,453,2,4,2,5,3,5,5,3,3,2,3,3,3,5,50
neutral or dissatisfied,Male,Frequent Flyer,43,Personal Travel,Eco,719,3,4,3,3,4,3,4,4,1,5,3,4,3,4,13
neutral or dissatisfied,Male,Frequent Flyer,17,Personal Travel,Eco,641,1,4,1,1,1,1,1,1,4,2,5,4,5,1,8
neutral or dissatisfied,Male,Infrequent Flyer,34,Business travel,Eco,721,3,3,3,4,4,3,4,4,2,2,4,3,3,4,0
neutral or dissatisfied,Male,Frequent Flyer,53,Personal Travel,Eco,297,2,2,2,2,5,2,5,5,3,4,2,2,3,5,2
neutral or dissatisfied,Female,Frequent Flyer,67,Personal Travel,Eco,2279,1,4,1,2,3,4,5,5,5,1,2,5,5,3,7
neutral or dissatisfied,Male,Frequent Flyer,48,Personal Travel,Eco,229,3,4,3,3,4,3,4,4,4,2,4,4,5,4,0
neutral or dissatisfied,Female,Frequent Flyer,52,Personal Travel,Eco Plus,622,3,5,3,4,5,4,4,4,4,3,4,3,4,4,0
neutral or dissatisfied,Male,Frequent Flyer,27,Personal Travel,Eco,1222,4,2,4,3,5,4,5,5,2,5,3,1,4,5,0
neutral or dissatisfied,Male,Frequent Flyer,39,Business travel,Business,3404,3,4,4,4,1,4,4,3,3,3,3,4,3,3,0
neutral or dissatisfied,Female,Infrequent Flyer,20,Business travel,Eco,1194,2,2,2,3,2,2,2,2,2,3,3,3,4,2,0
neutral or dissatisfied,Male,Infrequent Flyer,27,Business travel,Business,1073,1,1,1,3,4,1,4,4,1,5,4,1,4,4,0
neutral or dissatisfied,Male,Frequent Flyer,53,Personal Travel,Eco,618,3,5,3,1,5,3,5,5,3,4,5,5,4,5,0
neutral or dissatisfied,Male,Frequent Flyer,15,Personal Travel,Eco,436,1,4,1,3,1,1,1,1,4,5,5,4,4,1,57
neutral or dissatisfied,Male,Frequent Flyer,14,Personal Travel,Eco,404,3,4,2,1,4,2,4,4,4,4,5,4,5,4,0
neutral or dissatisfied,Female,Infrequent Flyer,18,Business travel,Eco,190,3,2,3,4,2,3,2,2,1,4,3,1,3,2,0
neutral or dissatisfied,Male,Frequent Flyer,25,Business travel,Eco Plus,645,3,5,5,5,3,3,2,3,2,5,4,4,3,3,86
neutral or dissatisfied,Male,Infrequent Flyer,17,Business travel,Eco,1204,2,2,2,4,3,2,3,3,3,1,3,1,3,3,22
neutral or dissatisfied,Male,Infrequent Flyer,32,Business travel,Eco,853,2,2,2,4,2,2,2,2,5,2,3,5,4,2,1
neutral or dissatisfied,Male,Infrequent Flyer,38,Business travel,Business,196,2,2,2,3,2,2,5,2,4,4,4,4,5,2,43
neutral or dissatisfied,Male,Frequent Flyer,25,Business travel,Business,199,3,2,2,2,1,3,1,3,3,4,3,1,3,1,147
neutral or dissatisfied,Female,Frequent Flyer,16,Personal Travel,Eco,1521,3,5,3,4,2,3,2,2,1,1,5,4,5,2,0
neutral or dissatisfied,Female,Frequent Flyer,27,Personal Travel,Business,862,3,4,3,5,4,3,5,4,3,5,4,5,5,4,0
neutral or dissatisfied,Male,Infrequent Flyer,36,Business travel,Business,271,2,1,1,5,3,1,1,3,5,3,4,5,4,3,104
neutral or dissatisfied,Male,Infrequent Flyer,13,Business travel,Eco,516,1,1,1,4,2,1,2,2,2,5,3,4,3,2,9
neutral or dissatisfied,Male,Infrequent Flyer,24,Business travel,Eco,1334,2,2,2,3,2,3,3,5,3,5,4,3,3,3,40
neutral or dissatisfied,Male,Frequent Flyer,49,Personal Travel,Eco Plus,639,2,5,2,3,3,2,2,3,4,2,5,3,5,3,0
neutral or dissatisfied,Female,Infrequent Flyer,29,Business travel,Business,829,1,1,1,2,1,1,1,1,5,3,4,3,4,1,0
neutral or dissatisfied,Female,Frequent Flyer,59,Business travel,Eco,1269,2,4,4,4,5,3,4,2,2,2,2,3,2,1,0
neutral or dissatisfied,Female,Frequent Flyer,55,Business travel,Eco Plus,1444,1,1,1,1,2,3,4,1,1,1,1,3,1,3,22
neutral or dissatisfied,Male,Frequent Flyer,67,Personal Travel,Eco,895,1,5,1,2,1,1,1,5,4,5,4,1,3,1,156
neutral or dissatisfied,Female,Infrequent Flyer,33,Business travel,Business,327,3,3,3,3,2,3,2,2,4,4,4,5,5,2,0
neutral or dissatisfied,Female,Infrequent Flyer,22,Business travel,Eco,306,3,0,3,2,1,3,1,1,4,5,1,3,5,1,0
neutral or dissatisfied,Male,Frequent Flyer,62,Personal Travel,Eco,919,4,5,5,5,4,5,4,4,4,5,4,5,4,4,0
neutral or dissatisfied,Male,Frequent Flyer,57,Personal Travel,Eco Plus,738,3,4,3,1,2,3,2,2,5,3,5,4,5,2,0
neutral or dissatisfied,Male,Frequent Flyer,25,Personal Travel,Eco,1447,2,4,1,3,3,1,3,3,2,2,4,2,2,3,9
neutral or dissatisfied,Female,Infrequent Flyer,23,Business travel,Eco Plus,946,2,0,2,4,5,2,5,5,1,3,1,1,5,5,1
neutral or dissatisfied,Female,Frequent Flyer,55,Personal Travel,Eco,406,2,5,2,5,4,4,4,1,1,2,1,4,1,3,0
neutral or dissatisfied,Male,Infrequent Flyer,29,Business travel,Business,1235,2,2,2,4,4,2,4,4,1,5,3,2,3,4,0
neutral or dissatisfied,Female,Frequent Flyer,59,Business travel,Eco,397,4,4,3,3,5,4,3,4,4,4,4,4,4,3,21
neutral or dissatisfied,Female,Frequent Flyer,16,Business travel,Business,1503,3,5,5,5,3,3,3,3,2,4,3,2,3,3,0
neutral or dissatisfied,Male,Frequent Flyer,43,Business travel,Eco,432,1,2,2,2,1,1,1,1,3,5,4,1,3,1,19
neutral or dissatisfied,Female,Frequent Flyer,69,Personal Travel,Eco,2227,3,5,3,3,3,4,4,5,5,3,5,3,5,3,2
neutral or dissatisfied,Female,Infrequent Flyer,26,Business travel,Business,228,2,2,2,2,2,1,1,3,4,2,3,1,3,1,157
neutral or dissatisfied,Female,Frequent Flyer,11,Personal Travel,Eco,2402,3,3,3,4,3,5,5,1,2,1,2,5,3,5,168
neutral or dissatisfied,Female,Infrequent Flyer,33,Business travel,Business,677,3,3,3,5,2,3,2,2,5,5,4,5,4,2,0
neutral or dissatisfied,Female,Infrequent Flyer,27,Business travel,Business,1310,3,3,3,3,4,3,4,4,4,5,5,5,5,4,0
neutral or dissatisfied,Male,Frequent Flyer,57,Personal Travel,Eco,257,2,4,2,3,1,2,1,1,4,5,1,5,2,1,0
neutral or dissatisfied,Male,Frequent Flyer,25,Personal Travel,Eco Plus,679,3,4,3,2,4,3,4,4,5,5,4,5,4,4,0
neutral or dissatisfied,Male,Frequent Flyer,27,Business travel,Eco Plus,1303,3,1,2,1,3,3,3,3,1,4,4,2,3,3,0
neutral or dissatisfied,Female,Frequent Flyer,14,Personal Travel,Eco,2065,3,4,3,4,3,4,4,3,5,4,5,4,3,4,0
neutral or dissatisfied,Female,Frequent Flyer,16,Business travel,Business,583,2,5,3,3,2,2,2,2,4,5,3,4,4,2,0
neutral or dissatisfied,Female,Frequent Flyer,28,Business travel,Eco,503,2,1,1,1,2,2,2,2,2,5,3,4,3,2,16
neutral or dissatisfied,Female,Frequent Flyer,61,Business travel,Eco,237,4,2,2,2,3,4,3,4,4,4,4,1,4,4,0
neutral or dissatisfied,Female,Frequent Flyer,22,Business travel,Business,758,2,5,5,5,2,2,2,2,2,1,3,3,3,2,7
neutral or dissatisfied,Female,Frequent Flyer,9,Personal Travel,Eco,2588,1,5,1,3,3,1,3,3,4,2,4,5,5,3,5
neutral or dissatisfied,Female,Frequent Flyer,60,Personal Travel,Eco,861,2,5,2,3,4,5,5,2,2,2,2,5,2,4,0
neutral or dissatisfied,Female,Frequent Flyer,10,Personal Travel,Eco,326,2,1,2,2,2,2,2,2,2,3,1,2,3,2,0
neutral or dissatisfied,Male,Frequent Flyer,56,Business travel,Eco,1754,2,1,1,1,2,2,2,2,2,1,4,1,4,2,0
neutral or dissatisfied,Male,Frequent Flyer,40,Personal Travel,Eco,255,3,5,3,1,2,3,4,2,4,2,5,4,5,2,5
neutral or dissatisfied,Male,Frequent Flyer,67,Personal Travel,Eco Plus,315,1,1,1,5,3,1,3,3,5,5,4,5,4,3,0
neutral or dissatisfied,Male,Frequent Flyer,24,Personal Travel,Eco,2311,2,4,2,2,4,2,4,4,5,2,5,4,4,4,0
neutral or dissatisfied,Female,Frequent Flyer,37,Business travel,Eco,569,3,5,3,3,3,3,3,3,2,4,2,3,3,3,72
neutral or dissatisfied,Female,Frequent Flyer,61,Business travel,Eco Plus,719,1,4,4,4,5,4,3,1,1,1,1,4,1,4,9
neutral or dissatisfied,Male,Frequent Flyer,47,Personal Travel,Eco,341,1,4,5,3,4,5,4,4,3,5,5,3,5,4,0
neutral or dissatisfied,Male,Frequent Flyer,51,Personal Travel,Eco,488,2,1,2,3,2,2,2,1,3,2,2,2,1,2,318
neutral or dissatisfied,Female,Frequent Flyer,15,Personal Travel,Eco,1572,2,4,2,3,4,2,4,4,4,5,3,4,5,4,0
neutral or dissatisfied,Female,Frequent Flyer,54,Business travel,Eco,365,4,2,2,2,4,3,4,4,4,4,4,1,4,2,24
neutral or dissatisfied,Female,Frequent Flyer,20,Personal Travel,Eco,763,3,4,2,1,2,2,2,2,5,3,4,3,2,2,44
neutral or dissatisfied,Female,Frequent Flyer,61,Personal Travel,Eco Plus,1554,2,2,2,3,2,4,3,5,5,2,5,3,5,1,0
neutral or dissatisfied,Female,Frequent Flyer,26,Personal Travel,Eco,762,2,5,2,1,4,2,4,4,5,4,5,5,5,4,4
neutral or dissatisfied,Male,Frequent Flyer,54,Personal Travel,Eco,1091,2,2,2,4,1,2,1,1,4,4,3,4,3,1,0
neutral or dissatisfied,Male,Frequent Flyer,52,Personal Travel,Eco Plus,246,1,4,1,3,5,1,5,5,3,3,4,4,4,5,0
neutral or dissatisfied,Female,Frequent Flyer,47,Business travel,Business,987,1,1,1,1,3,3,4,1,1,1,1,4,1,4,0
neutral or dissatisfied,Female,Frequent Flyer,34,Personal Travel,Eco Plus,173,2,4,0,2,3,0,3,3,5,5,4,3,4,3,0
neutral or dissatisfied,Female,Frequent Flyer,13,Personal Travel,Eco,507,2,2,2,2,3,2,3,3,4,3,2,3,3,3,0
neutral or dissatisfied,Female,Frequent Flyer,16,Personal Travel,Eco,977,2,4,3,2,2,3,2,2,3,4,5,3,5,2,21
neutral or dissatisfied,Female,Frequent Flyer,47,Personal Travel,Eco,862,4,3,4,4,1,4,3,4,4,4,3,1,4,1,15
neutral or dissatisfied,Female,Infrequent Flyer,21,Business travel,Eco,581,4,0,4,2,5,4,5,5,4,4,5,5,4,5,0
neutral or dissatisfied,Female,Frequent Flyer,33,Business travel,Business,2423,2,4,1,4,1,3,3,2,2,2,2,2,2,3,9
neutral or dissatisfied,Female,Frequent Flyer,7,Personal Travel,Eco,651,2,3,3,3,3,3,3,3,3,5,3,2,3,3,0
neutral or dissatisfied,Male,Infrequent Flyer,23,Business travel,Eco,692,2,2,2,3,4,2,4,4,5,2,5,5,5,4,67
neutral or dissatisfied,Female,Frequent Flyer,34,Business travel,Business,2091,2,2,5,2,2,4,3,2,2,2,2,2,2,3,0
neutral or dissatisfied,Female,Frequent Flyer,43,Personal Travel,Eco,971,3,4,3,4,3,5,4,3,3,3,4,5,3,3,0
neutral or dissatisfied,Female,Frequent Flyer,45,Personal Travel,Eco Plus,944,1,3,1,5,5,2,1,3,3,1,5,3,3,2,0
neutral or dissatisfied,Female,Frequent Flyer,24,Business travel,Business,1390,3,1,1,1,3,3,3,3,1,4,4,1,4,3,16
neutral or dissatisfied,Male,Frequent Flyer,40,Personal Travel,Eco Plus,2329,3,4,3,1,3,1,1,3,3,3,1,1,2,1,0
neutral or dissatisfied,Female,Frequent Flyer,19,Personal Travel,Eco,1532,3,5,3,4,4,3,4,4,3,5,3,4,4,4,0
neutral or dissatisfied,Male,Frequent Flyer,57,Business travel,Eco,515,3,3,3,3,3,3,3,3,3,1,3,2,4,3,4
neutral or dissatisfied,Female,Infrequent Flyer,20,Business travel,Eco,1504,3,3,3,4,5,3,4,5,2,4,4,1,3,5,0
neutral or dissatisfied,Female,Frequent Flyer,46,Personal Travel,Eco,641,2,5,2,4,3,2,4,2,2,2,2,5,2,2,8
neutral or dissatisfied,Male,Frequent Flyer,33,Business travel,Eco,630,1,1,1,1,1,1,1,2,1,1,1,1,3,1,131
neutral or dissatisfied,Female,Infrequent Flyer,29,Business travel,Eco,159,4,2,4,4,5,4,5,5,1,5,3,3,3,5,67
neutral or dissatisfied,Female,Infrequent Flyer,38,Business travel,Eco Plus,1754,2,1,1,4,2,1,2,2,3,2,3,2,4,2,0
neutral or dissatisfied,Male,Frequent Flyer,62,Personal Travel,Eco,251,2,1,2,4,2,2,2,2,1,3,4,3,3,2,40
neutral or dissatisfied,Male,Infrequent Flyer,36,Business travel,Eco,501,3,1,3,2,2,3,5,2,2,3,3,2,2,2,0
neutral or dissatisfied,Male,Frequent Flyer,25,Business travel,Eco,550,3,2,2,2,3,2,1,3,2,5,3,2,2,3,20
neutral or dissatisfied,Female,Infrequent Flyer,28,Business travel,Eco,1197,1,1,1,3,3,1,1,3,2,2,4,3,3,3,0
neutral or dissatisfied,Female,Infrequent Flyer,20,Business travel,Eco,765,4,4,4,3,2,4,2,2,2,2,4,1,4,2,0
neutral or dissatisfied,Female,Frequent Flyer,49,Personal Travel,Eco,700,4,2,4,3,1,2,3,2,2,4,2,2,2,1,0
neutral or dissatisfied,Female,Frequent Flyer,42,Personal Travel,Business,743,3,5,3,4,5,4,4,2,2,3,2,4,2,5,0
neutral or dissatisfied,Female,Frequent Flyer,30,Personal Travel,Eco Plus,862,4,5,4,5,2,4,2,2,5,2,4,5,5,2,4
neutral or dissatisfied,Male,Frequent Flyer,38,Personal Travel,Eco,423,2,0,2,4,1,2,1,1,5,3,4,3,5,1,34
neutral or dissatisfied,Male,Infrequent Flyer,25,Business travel,Eco,1050,2,2,2,3,4,2,4,4,2,5,4,3,3,4,44
neutral or dissatisfied,Female,Frequent Flyer,11,Personal Travel,Eco,853,3,5,3,2,5,3,5,5,3,2,4,5,5,5,0
neutral or dissatisfied,Female,Frequent Flyer,65,Personal Travel,Eco,1042,2,4,2,2,4,5,4,2,2,2,2,5,2,5,111
neutral or dissatisfied,Male,Frequent Flyer,15,Personal Travel,Eco,1096,2,1,2,3,5,2,1,5,2,3,2,2,4,5,0
neutral or dissatisfied,Male,Frequent Flyer,11,Personal Travel,Eco,130,2,5,2,1,2,2,2,2,3,5,4,3,4,2,0
neutral or dissatisfied,Male,Frequent Flyer,37,Personal Travel,Eco,1999,4,5,4,3,5,4,5,5,5,5,5,4,4,5,0
neutral or dissatisfied,Male,Frequent Flyer,32,Personal Travel,Eco,1269,4,1,4,3,1,4,1,1,4,4,3,1,2,1,0
neutral or dissatisfied,Female,Frequent Flyer,24,Business travel,Business,1440,1,3,3,3,1,1,1,1,4,4,3,2,4,1,13
neutral or dissatisfied,Male,Infrequent Flyer,11,Business travel,Eco,854,4,4,4,3,4,4,4,4,1,1,4,2,4,4,0
neutral or dissatisfied,Male,Frequent Flyer,33,Business travel,Business,337,3,2,2,2,3,3,3,3,2,3,3,1,2,3,15
neutral or dissatisfied,Female,Frequent Flyer,51,Business travel,Business,849,2,3,3,3,1,4,3,2,2,2,2,3,2,1,0
neutral or dissatisfied,Female,Frequent Flyer,18,Personal Travel,Eco,1259,3,3,3,3,3,3,3,3,4,3,4,2,4,3,28
neutral or dissatisfied,Female,Frequent Flyer,38,Personal Travel,Eco,1389,2,4,1,3,3,1,3,3,3,2,5,3,5,3,0
neutral or dissatisfied,Female,Frequent Flyer,29,Personal Travel,Eco,1076,3,4,3,3,2,3,5,2,4,2,4,4,5,2,8
